,FSCS,Location,Library Class,Total Population Served,City,County,Cooperative,Non-Resident Fee,NR Fee Annual or One Time,Fee schedule or non-resident rate (Example: $35/family;$25/individual),Full Library Service for Contracted Municipalities
361,MI0175,Jackson District Library,"Class 6: Serve 50,000+",160248.0,Jackson,Jackson,Woodlands Library Cooperative,Yes,Annual,$75.00,
362,MI0180,Kalamazoo Public Library,"Class 6: Serve 50,000+",123979.0,Kalamazoo,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,$210/Family,
363,MI0182,Kent District Library,"Class 6: Serve 50,000+",395660.0,Comstock Park,Kent,Lakeland Library Cooperative,Yes,Annual,84.00,
364,MI0190,Lapeer District Library,"Class 6: Serve 50,000+",60006.0,Lapeer,Lapeer,Mideastern Michigan Library Cooperative,Yes,Annual,$45/household,
365,MI0200,Livonia Public Library,"Class 6: Serve 50,000+",96942.0,Livonia,Wayne,The Library Network,Yes,Annual,100/individual,
366,MI0233,Monroe County Library System,"Class 6: Serve 50,000+",149955.0,Monroe,Monroe,Woodlands Library Cooperative,Yes,Annual,100.00,
367,MI0240,Muskegon Area District Library,"Class 6: Serve 50,000+",105852.0,Muskegon,Muskegon,Lakeland Library Cooperative,Yes,Annual,75,
368,MI0250,Novi Public Library,"Class 6: Serve 50,000+",55374.0,Novi,Oakland,The Library Network,Yes,Annual,111,
369,MI0274,Pontiac Public Library,"Class 6: Serve 50,000+",59515.0,Pontiac,Oakland,The Library Network,No,,,
370,MI0277,Portage District Library,"Class 6: Serve 50,000+",52170.0,Portage,Kalamazoo,Southwest Michigan Library Cooperative,Yes,Annual,$176/Household; $88.00/Senior Citizen,
371,MI0299,Public Libraries of Saginaw,"Class 6: Serve 50,000+",124690.0,Saginaw,Saginaw,Mideastern Michigan Library Cooperative,Yes,Annual,50,Yes
372,MI0293,Rochester Hills Public Library,"Class 6: Serve 50,000+",100485.0,Rochester,Oakland,The Library Network,No,,,Yes
373,MI0296,Royal Oak Public Library,"Class 6: Serve 50,000+",57236.0,Royal Oak,Oakland,The Library Network,Yes,Annual,$100/individual,
374,MI0321,Saint Clair County Library System,"Class 6: Serve 50,000+",160312.0,Port Huron,Saint Clair,The Library Network,Yes,Annual,65.00,Yes
375,MI0322,Saint Clair Shores Public Library,"Class 6: Serve 50,000+",59715.0,St. Clair Shores,Macomb,Suburban Library Cooperative,Yes,Annual,200/Family,No
376,MI0308,Shelby Township Library,"Class 6: Serve 50,000+",73804.0,Shelby Township,Macomb,Suburban Library Cooperative,No,,,
377,MI0316,Southfield Public Library,"Class 6: Serve 50,000+",75814.0,Southfield,Oakland,The Library Network,No,,,Yes
378,MI0325,Sterling Heights Public Library,"Class 6: Serve 50,000+",129699.0,Sterling Heights,Macomb,Suburban Library Cooperative,Yes,Annual,$200/Family,
379,MI9024,Taylor Community Library,"Class 6: Serve 50,000+",63131.0,Taylor,Wayne,The Library Network,No,,,
380,MI0342,Traverse Area District Library,"Class 6: Serve 50,000+",97396.0,Traverse City,Grand Traverse,Northland Library Cooperative,Yes,Annual, $100/family; $50/six months,
381,MI9020,Trenton Veteran's Memorial Library,"Class 6: Serve 50,000+",72726.0,Trenton,Wayne,The Library Network,No,,,Yes
382,MI0343,Troy Public Library,"Class 6: Serve 50,000+",80980.0,Troy,Oakland,Suburban Library Cooperative,Yes,Annual,$200/family outside Suburban Library Cooperative,
383,MI0356,Warren Public Library,"Class 6: Serve 50,000+",134056.0,Warren,Macomb,Suburban Library Cooperative,Yes,Annual,$200 per family,No
384,MI0358,Waterford Township Public Library,"Class 6: Serve 50,000+",71997.0,Waterford,Oakland,The Library Network,No,,,
385,MI0362,West Bloomfield Township Public Library,"Class 6: Serve 50,000+",71755.0,West Bloomfield,Oakland,The Library Network,No,,,Yes
386,MI0371,Willard Public Library,"Class 6: Serve 50,000+",89779.0,Battle Creek,Calhoun,Southwest Michigan Library Cooperative,Yes,Annual,150.00,
387,MI0415,William P. Faust Public Library of Westland,"Class 6: Serve 50,000+",84094.0,Westland,Wayne,The Library Network,Yes,Annual,40.00,
388,MI0377,Ypsilanti District Library,"Class 6: Serve 50,000+",82974.0,Ypsilanti,Washtenaw,The Library Network,Yes,Annual,150,
389,,,,,,,,,,,
390,,Total Libraries Reporting (N),389,,,,,,,,
391,,,,,,,,,,,
392,End of worksheet,,,,,,,,,,
